Designator,Mid X,Mid Y,Rotation,Layer
A1,180.33,-62.23,180.0,bottom
C1,141.964,-57.17,270.0,bottom
C2,145.774,-83.84,270.0,bottom
D1,180.34,-88.9,0.0,bottom
D10,180.34,-119.38,0.0,bottom
D11,180.34,-129.54,180.0,bottom
D12,141.964,-134.552081,90.0,bottom
D2,135.619,-120.582081,0.0,top
D3,180.34,-109.22,180.0,bottom
D4,180.34,-114.3,0.0,bottom
D5,180.34,-93.98,180.0,bottom
D6,135.619,-135.822081,0.0,top
D7,180.34,-99.06,180.0,bottom
D8,180.34,-104.14,180.0,bottom
D9,148.319,-90.102081,0.0,top
J1,148.314,-121.134581,0.0,top
J2,148.314,-136.374581,0.0,top
J3,148.314,-105.894581,0.0,top
J4,135.614,-105.894581,0.0,top
J5,180.34,-137.9125,270.0,bottom
J6,168.91,-63.495,0.0,top
J7,130.559,-63.47,0.0,bottom
J8,153.419,-63.47,0.0,bottom
J9,191.77,-63.495,0.0,top
R1,149.584,-57.15,270.0,bottom
R10,180.34,-124.46,180.0,bottom
R2,141.964,-114.232081,270.0,bottom
R3,141.964,-124.392081,270.0,bottom
R4,134.344,-57.15,90.0,bottom
R5,135.614,-142.24,0.0,bottom
R6,149.584,-69.85,270.0,bottom
R7,129.264,-134.552081,90.0,bottom
R8,149.584,-81.28,90.0,bottom
R9,141.964,-104.072081,270.0,bottom
RV1,142.004,-46.0625,0.0,top
RV2,142.004,-71.4625,0.0,top
SW1,135.614,-90.102081,0.0,top
